S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29,
fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),favorit (0.006),fortun (0.006),fortun (0.006),fortun (0.006),favorit (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),drink (0.023),fortun (0.006),fortun (0.006),almost (0.018),fortun (0.006),fortun (0.006),fortun (0.006),fortun (0.006),correct (0.005),fortun (0.006),fortun (0.006),neg (0.006),bad (0.004),neg (0.006),neg (0.006),lid (0.030),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),neg (0.006),complaint (0.004),neg (0.006),neg (0.006),neg (0.006),line (0.029),neg (0.006),neg (0.006),complaint (0.004),neg (0.006),neg (0.006),junk (0.005),neg (0.006),neg (0.006),
fun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),fortun (0.006),fun (0.006),fun (0.006),fun (0.006),fortun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),fun (0.006),easi (0.023),fun (0.006),fun (0.006),black (0.018),fun (0.006),fun (0.006),fun (0.006),fun (0.006),enjoi (0.005),fun (0.006),fun (0.006),notgood (0.006),complain (0.004),notgood (0.006),notgood (0.006),old (0.030),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),notgood (0.006),disappoint (0.004),notgood (0.006),notgood (0.006),notgood (0.006),mug (0.029),notgood (0.006),notgood (0.006),disappoint (0.004),notgood (0.006),notgood (0.006),mess (0.005),notgood (0.006),notgood (0.006),
glad (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),fun (0.006),glad (0.006),glad (0.006),glad (0.006),fun (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),glad (0.006),energi (0.023),glad (0.006),glad (0.006),broke (0.018),glad (0.006),glad (0.006),glad (0.006),glad (0.006),excel (0.005),glad (0.006),glad (0.006),notlik (0.006),complaint (0.004),notlik (0.006),notlik (0.006),point (0.030),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),notlik (0.006),hate (0.004),notlik (0.006),notlik (0.006),notlik (0.006),note (0.029),notlik (0.006),notlik (0.006),hate (0.004),notlik (0.006),notlik (0.006),nasti (0.005),notlik (0.006),notlik (0.006),
good (0.006),good (0.006),good (0.006),good (0.006),good (0.006),good (0.006),good (0.006),good (0.006),glad (0.006),good (0.006),good (0.006),good (0.006),glad (0.006),good (0.006),good (0.006),good (0.006),good (0.006),good (0.006),good (0.006),everyth (0.023),good (0.006),good (0.006),consid (0.018),good (0.006),good (0.006),good (0.006),good (0.006),fantast (0.005),good (0.006),good (0.006),notrecommend (0.006),disappoint (0.004),notrecommend (0.006),notrecommend (0.006),pour (0.030),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),inferior (0.004),notrecommend (0.006),notrecommend (0.006),notrecommend (0.006),our (0.029),notrecommend (0.006),notrecommend (0.006),inferior (0.004),notrecommend (0.006),notrecommend (0.006),neg (0.005),notrecommend (0.006),notrecommend (0.006),
great (0.006),great (0.006),great (0.006),great (0.006),great (0.006),great (0.006),great (0.006),great (0.006),good (0.006),great (0.006),great (0.006),great (0.006),good (0.006),great (0.006),great (0.006),great (0.006),great (0.006),great (0.006),great (0.006),expens (0.023),great (0.006),great (0.006),cuisinart (0.018),great (0.006),great (0.006),great (0.006),great (0.006),favorit (0.005),great (0.006),great (0.006),notworth (0.006),hate (0.004),notworth (0.006),notworth (0.006),right (0.030),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),notworth (0.006),junk (0.004),notworth (0.006),notworth (0.006),notworth (0.006),overflow (0.029),notworth (0.006),notworth (0.006),junk (0.004),notworth (0.006),notworth (0.006),notgood (0.005),notworth (0.006),notworth (0.006),
happi (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),great (0.006),happi (0.006),happi (0.006),happi (0.006),great (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),happi (0.006),fare (0.023),happi (0.006),happi (0.006),decid (0.018),happi (0.006),happi (0.006),happi (0.006),happi (0.006),fortun (0.005),happi (0.006),happi (0.006),poor (0.006),inferior (0.004),poor (0.006),poor (0.006),spot (0.030),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),poor (0.006),mess (0.004),poor (0.006),poor (0.006),poor (0.006),oz (0.029),poor (0.006),poor (0.006),mess (0.004),poor (0.006),poor (0.006),notlik (0.005),poor (0.006),poor (0.006),
impress (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),happi (0.006),impress (0.006),impress (0.006),impress (0.006),happi (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),impress (0.006),grab (0.023),impress (0.006),impress (0.006),drinker (0.018),impress (0.006),impress (0.006),impress (0.006),impress (0.006),fun (0.005),impress (0.006),impress (0.006),problem (0.006),junk (0.004),problem (0.006),problem (0.006),style (0.030),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),problem (0.006),nasti (0.004),problem (0.006),problem (0.006),problem (0.006),annoi (0.003),problem (0.006),problem (0.006),nasti (0.004),problem (0.006),problem (0.006),notrecommend (0.005),problem (0.006),problem (0.006),
love (0.006),love (0.006),love (0.006),love (0.006),love (0.006),love (0.006),love (0.006),love (0.006),impress (0.006),love (0.006),love (0.006),love (0.006),impress (0.006),love (0.006),love (0.006),love (0.006),love (0.006),love (0.006),love (0.006),honei (0.023),love (0.006),love (0.006),everyth (0.018),love (0.006),love (0.006),love (0.006),love (0.006),glad (0.005),love (0.006),love (0.006),regret (0.006),mess (0.004),regret (0.006),regret (0.006),bad (0.003),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),regret (0.006),neg (0.004),regret (0.006),regret (0.006),regret (0.006),bad (0.003),regret (0.006),regret (0.006),neg (0.004),regret (0.006),regret (0.006),notworth (0.005),regret (0.006),regret (0.006),
nice (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),love (0.006),nice (0.006),nice (0.006),nice (0.006),love (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),nice (0.006),hood (0.023),nice (0.006),nice (0.006),famili (0.018),nice (0.006),nice (0.006),nice (0.006),nice (0.006),great (0.005),nice (0.006),nice (0.006),sorri (0.006),nasti (0.004),sorri (0.006),sorri (0.006),complain (0.003),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),sorri (0.006),notgood (0.004),sorri (0.006),sorri (0.006),sorri (0.006),complain (0.003),sorri (0.006),sorri (0.006),notgood (0.004),sorri (0.006),sorri (0.006),poor (0.005),sorri (0.006),sorri (0.006),
perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),nice (0.006),perfect (0.006),perfect (0.006),perfect (0.006),nice (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),notleak (0.023),perfect (0.006),perfect (0.006),friend (0.018),perfect (0.006),perfect (0.006),perfect (0.006),perfect (0.006),happi (0.005),perfect (0.006),perfect (0.006),terribl (0.006),notgood (0.004),terribl (0.006),terribl (0.006),complaint (0.003),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),terribl (0.006),notlik (0.004),terribl (0.006),terribl (0.006),terribl (0.006),complaint (0.003),terribl (0.006),terribl (0.006),notlik (0.004),terribl (0.006),terribl (0.006),problem (0.005),terribl (0.006),terribl (0.006),
posit (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),perfect (0.006),posit (0.006),posit (0.006),posit (0.006),perfect (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),posit (0.006),notlong (0.023),posit (0.006),posit (0.006),got (0.018),posit (0.006),posit (0.006),posit (0.006),posit (0.006),impress (0.005),posit (0.006),posit (0.006),troubl (0.006),notlik (0.004),troubl (0.006),troubl (0.006),disappoint (0.003),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),troubl (0.006),notrecommend (0.004),troubl (0.006),troubl (0.006),troubl (0.006),disappoint (0.003),troubl (0.006),troubl (0.006),notrecommend (0.004),troubl (0.006),troubl (0.006),regret (0.005),troubl (0.006),troubl (0.006),
recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),posit (0.006),recommend (0.006),recommend (0.006),recommend (0.006),posit (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),program (0.023),recommend (0.006),recommend (0.006),hot (0.018),recommend (0.006),recommend (0.006),recommend (0.006),recommend (0.006),love (0.005),recommend (0.006),recommend (0.006),unaccept (0.006),notrecommend (0.004),unaccept (0.006),unaccept (0.006),hate (0.003),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),unaccept (0.006),notworth (0.004),unaccept (0.006),unaccept (0.006),unaccept (0.006),hate (0.003),unaccept (0.006),unaccept (0.006),notworth (0.004),unaccept (0.006),unaccept (0.006),sorri (0.005),unaccept (0.006),unaccept (0.006),
satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),recommend (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),recommend (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),soi (0.023),satisfi (0.006),satisfi (0.006),hour (0.018),satisfi (0.006),satisfi (0.006),satisfi (0.006),satisfi (0.006),nice (0.005),satisfi (0.006),satisfi (0.006),unfortun (0.006),notworth (0.004),unfortun (0.006),unfortun (0.006),inferior (0.003),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),unfortun (0.006),poor (0.004),unfortun (0.006),unfortun (0.006),unfortun (0.006),inferior (0.003),unfortun (0.006),unfortun (0.006),poor (0.004),unfortun (0.006),unfortun (0.006),terribl (0.005),unfortun (0.006),unfortun (0.006),
superior (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),satisfi (0.006),superior (0.006),superior (0.006),superior (0.006),satisfi (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),superior (0.006),standard (0.023),superior (0.006),superior (0.006),made (0.018),superior (0.006),superior (0.006),superior (0.006),superior (0.006),perfect (0.005),superior (0.006),superior (0.006),upset (0.006),poor (0.004),upset (0.006),upset (0.006),junk (0.003),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),upset (0.006),problem (0.004),upset (0.006),upset (0.006),upset (0.006),junk (0.003),upset (0.006),upset (0.006),problem (0.004),upset (0.006),upset (0.006),troubl (0.005),upset (0.006),upset (0.006),
thank (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),superior (0.006),thank (0.006),thank (0.006),thank (0.006),superior (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),thank (0.006),these (0.023),thank (0.006),thank (0.006),old (0.018),thank (0.006),thank (0.006),thank (0.006),thank (0.006),posit (0.005),thank (0.006),thank (0.006),wast (0.006),problem (0.004),wast (0.006),wast (0.006),nasti (0.003),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),wast (0.006),regret (0.004),wast (0.006),wast (0.006),wast (0.006),mess (0.003),wast (0.006),wast (0.006),regret (0.004),wast (0.006),wast (0.006),unaccept (0.005),wast (0.006),wast (0.006),
worth (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),thank (0.006),worth (0.006),worth (0.006),worth (0.006),thank (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),worth (0.006),went (0.023),worth (0.006),worth (0.006),return (0.018),worth (0.006),worth (0.006),worth (0.006),worth (0.006),recommend (0.005),worth (0.006),worth (0.006),worst (0.006),regret (0.004),worst (0.006),worst (0.006),neg (0.003),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),worst (0.006),sorri (0.004),worst (0.006),worst (0.006),worst (0.006),nasti (0.003),worst (0.006),worst (0.006),sorri (0.004),worst (0.006),worst (0.006),unfortun (0.005),worst (0.006),worst (0.006),
aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),worth (0.006),aa (0.000),aa (0.000),aa (0.000),worth (0.006),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),amaz (0.002),aa (0.000),aa (0.000),sever (0.018),aa (0.000),aa (0.000),aa (0.000),aa (0.000),satisfi (0.005),aa (0.000),aa (0.000),worthless (0.006),sorri (0.004),worthless (0.006),worthless (0.006),notlik (0.003),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),worthless (0.006),terribl (0.004),worthless (0.006),worthless (0.006),worthless (0.006),neg (0.003),worthless (0.006),worthless (0.006),terribl (0.004),worthless (0.006),worthless (0.006),upset (0.005),worthless (0.006),worthless (0.006),
aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),attract (0.002),aaa (0.000),aaa (0.000),should (0.018),aaa (0.000),aaa (0.000),aaa (0.000),aaa (0.000),superior (0.005),aaa (0.000),aaa (0.000),wrong (0.006),terribl (0.004),wrong (0.006),wrong (0.006),notrecommend (0.003),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),wrong (0.006),troubl (0.004),wrong (0.006),wrong (0.006),wrong (0.006),notgood (0.003),wrong (0.006),wrong (0.006),troubl (0.004),wrong (0.006),wrong (0.006),wast (0.005),wrong (0.006),wrong (0.006),
aac (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),aaa (0.000),aac (0.000),aac (0.000),aac (0.000),aaa (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),aac (0.000),awesom (0.002),aac (0.000),aac (0.000),stai (0.018),aac (0.000),aac (0.000),aac (0.000),aac (0.000),thank (0.005),aac (0.000),aac (0.000),aa (0.000),troubl (0.004),aa (0.000),aa (0.000),notworth (0.003),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),aa (0.000),unaccept (0.004),aa (0.000),aa (0.000),aa (0.000),notlik (0.003),aa (0.000),aa (0.000),unaccept (0.004),aa (0.000),aa (0.000),worst (0.005),aa (0.000),aa (0.000),
